ACC-TVET , TVET CDACC
ADMI-CAXTO , Africa Digital Media Institute - Caxtone
ADMI-IM , Africa Digital Media Institute - IM (ADMI-IM)
AGHAKAN-UN , Agha Khan University
AGHS , Alliance Girls High School
AGU-CENTER , Aga Khan University - Center
AGU-MAIN , Aga Khan University - Main
AGU-MUTHIT , Aga Khan University - Muthithi (Diagnostics)
AGU-N.SCH , Aga Khan University - School of Nursing
AGU-PEPONI , Aga Khan University - Peponi
AHS , Alliance High Schol
AICD , African Institute for capacity Development
AICKHM , AIC Kijabe Hospital - Marira
AICKHMAIMA , AIC Kijabe Maimahiu
AICKH-MN , AIC Kijabe Hospital - Main
AICKH-NRB , AIC Kijabe Hospital - Nairobi
AICKH-RVA , Rift Valley Academy - AIC Kijabe Hospital
AIRC , Agricultural Information Resource Centre
AIU-NEGST , Africa International University (NEGST)
ALLIANCEBO , Alliance boys high school
ALUPE-UNV , Alupe University 
AMPATH KIT , AMPATH Kitale site 1
AMPATH-ACT , AMPATH ACTG
AMPATH-BUN , Bungoma
AMPATH-DTW , AMPATH Daima Towers
AMPATH-ELD , AMPATH Eldoret
AMPATH-KAK , Ampath Kakamega
AMPATH-KIS , AMPATH Kisumu
AMPATH-KIT , AMPATH Kitale Site 2
AMPATH-KSM , Academic Model Providing Access to Healthcare (AMP
AMPATH-MTR , AMPATH <>MTRH
ASB-TTC , Asumbi TTC
ATTC-ABERD , Aberdare Teachers Training College
AUA , Adventist University of Africa
BIHC , Boma International Hospitality College
BNTVC-BUNG , Bungoma North Technical and Vocational College
BOMET-TEL , Bomet Telephone House
BSC-BROGLI , Broglio Space Centre
BSC-BROLIO , Broglio Space Centre
BTTC-BONDO , Bondo Teachers Training College 
BTTC-BORAB , Borabu Teachers Training College 
BTTI , Bureti TTI
BTTI-BURET , Bureti TTI
BTTI-BUSHI , Bushiangala Technical Training Institute 
BTVC-BUTE , Butere Technical and Vocational College
BUC-BOMET , Bomet University College
BUKURA , Bukura Agricultural College
BUKURA-AGR , Bukura Agricultural College
CARLILE-CO , Carlile College
CATH-NRB , Catholic University Nairobi Campus
CATH-POP , Catholic POP
CATH-UOE , Catholic University Eldoret Campus
CDC-KSM , CDC KISUMU
CEMASTEA , Centre for Mathematics, Scie, & Techy Edu in Afric
CHAMASIRI , Chamasiri TVC
CHEPKOILEL , CHEPKOILEL UNIVERSITY COLLEGE
CHUKA-CHOG , CHUKA Chogoria
CHUKA-EMBU , Chuka University - Embu
CHUKA-IGEM , Chuka University -Igembe
CHUKA-M , Chuka University, Main Campus
CHUKA-MNC , Chuka University, Main Campus
CHUKA-NRB , Chuka University - Nairobi 
CHUKA-UNIV , Chuka University
CHVK-KPLC , Chavakali KPLC <> NOFBI Interception Point
