Aberdare Teacher's Training College	r.aberdare-ttc.m.kenet.or.ke
ACORN BUSINES SERVICES LTD -QWETU Juja	r.qwetu-juja.n.kenet.or.ke
ACORN BUSINES SERVICES LTD-QWETU Chiromo	r.qwetu-chiromo.n.kenet.or.ke
ACORN BUSINES SERVICES LTD-QWETU Hulingam	r.qwetu-hurlingham.n.kenet.or.ke
ACORN BUSINES SERVICES LTD-QWETU Parklands	r.qwetu-parklands.n.kenet.or.ke
Adventist University of Africa	r.aua.n.kenet.or.ke
AIC Kijabe Ma Mahiu	r.aic-kijabe-maimahiu.a.kenet.or.ke
AIC Kijabe Marira	r.aic-kijabe-marira.n.kenet.or.ke
AIC Kijabe Nairobi	r.aic-kijabe-nrb.n.kenet.or.ke
AKU Diagnostics	r.aku-diagnostics.n.kenet.or.ke
AKU Main	r.aku-main.n.kenet.or.ke
Ampath ACTG	r.ampath-actg.e.kenet.or.ke
Ampath Daima Towers	r.ampath-daimatowers.e.kenet.or.ke
AMPATH-Bungoma - Dumisha Afya	r.ampath-bungoma.e.kenet.or.ke
ANU Main	r.anu-main.n.kenet.or.ke
Asumbi TTC	r.asumbi-ttc.k.kenet.or.ke
BOMA College	r.boma-college.n.kenet.or.ke
Bomet University College	r.bomet.a.kenet.or.ke
Bondo TTC	r.bondo-ttc.k.kenet.or.ke
Borabu Teachers Training College	r.borabu-ttc.k.kenet.or.ke
Bukura Agricultural College	r.bukura.k.kenet.or.ke
Bungoma North Technical and Vocational College	r.bungoma-north-tvc.e.kenet.or.ke
Bureti Technical Training Institute	r.bureti-tti.a.kenet.or.ke
Bushiangala Technical training Institute	r.bushiangala-tti.k.kenet.or.ke
Butere Technical and Vocational College	r.butere-tvc.k.kenet.or.ke
Carlile College	r.carlile-college.n.kenet.or.ke
Catholic University of Eastern Africa - Eldoret	r.cuea-eld.e.kenet.or.ke
Catholic University of Eastern Africa - Main	r.cuea-main.n.kenet.or.ke
Centre for Mathematics, Science and Technology Education in Africa - CEMASTEA	r.cemastea.n.kenet.or.ke
Chamasiri Technical and Vocational college	r.chamasiri-tvc.k.kenet.or.ke
Christian Industrial Training Centres	r.citc.n.kenet.or.ke
Chuka Chogoria	r.chuka-chogoria.m.kenet.or.ke
Chuka Embu	r.chuka-embu.m.kenet.or.ke
Chuka Igembe	r.chuka-igembe.m.kenet.or.ke
Chuka Nairobi	r.chuka-nrb.n.kenet.or.ke
Chuka University	r.chuka.m.kenet.or.ke
Coast Institute of Technology	r.coast-inst.s.kenet.or.ke
Coast Institute of Technology Town	r.coast-inst-town.s.kenet.or.ke
Council for Legal Education	r.cle.n.kenet.or.ke
David Mbiti Wambuli TVC	r.david-mbiti-tvc.n.kenet.or.ke
Daystar University - Athi River	r.days-athi.n.kenet.or.ke
Daystar University - Nairobi	r.days-nrb.n.kenet.or.ke
Dedan KImathi University of Science and Technology	r.kimathi-main.m.kenet.or.ke
Defense Staff College Karen	r.defence-staff-karen.n.kenet.or.ke
East Africa School of Aviation	r.easa.n.kenet.or.ke
Egerton Bontana Campus	r.eger-bontana.a.kenet.or.ke
Egerton University - CHS	r.eger-health.a.kenet.or.ke
Egerton University - Town Campus	r.eger-town.a.kenet.or.ke
Egerton University, Njoro campus	r.eger-njoro.a.kenet.or.ke
Embu Level 5 Hospital	r.embu-level5.m.kenet.or.ke
Embu University	r.embuni.m.kenet.or.ke
Eregi Teachers Training College	r.eregi-ttc.k.kenet.or.ke
Friends College Kaimosi	r.friends-college.k.kenet.or.ke
Garissa University	r.garissa.n.kenet.or.ke
Gatundu South Technical and Vocational College	r.gatundu-tvc.n.kenet.or.ke
GRETSA	r.gretsa-main.n.kenet.or.ke
Hekima College-IPSIR	r.hekima-ipsir.n.kenet.or.ke
Hekima College-JST	r.hekima-jst.n.kenet.or.ke
Henry Jackson Foundation Medical Research International - HJFMRI - Kisumu  Office	r.hjfmri-ksm.k.kenet.or.ke
Higher Education Loans Board - HELB Main	r.helb.n.kenet.or.ke
